name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Jaylen Warren,RB,PIT,75.9,157.3,174.8,129.9,7.26,63,102,9,NA
Harold Fannin Jr.,TE,CLE,77.0,154.4,184.6,98.0,15.73,32,173,11,NA
Brian Thomas Jr.,WR,JAC,77.8,154.0,173.4,117.1,13,48,110,7,NA
DK Metcalf,WR,PIT,78.2,151.2,173.4,115.1,13.05,48,116,9,NA
Trevor Lawrence,QB,JAC,79.9,302.6,328.2,248.2,12.48,59,108,7,NA
Dak Prescott,QB,DAL,80.0,296.2,374.9,248.2,12.87,37,108,14,NA
Tony Pollard,RB,TEN,81.5,153.4,185.3,129.9,8.37,58,102,9,NA
Chris Godwin Jr.,WR,TB,81.7,148.5,171.9,111.1,12.65,51,123,10,NA
Rhamondre Stevenson,RB,NE,82.0,149.2,170.7,125.7,8.38,65,103,11,NA
Sam LaPorta,TE,DET,82.5,149.0,166.6,143.9,10.07,54,97,6,NA
Kyle Pitts Sr.,TE,ATL,82.9,143.9,166.6,133.3,9.33,66,111,11,NA
Michael Pittman Jr.,WR,PIT,83.4,145.3,176.1,115.1,13.88,40,118,9,NA
Jordyn Tyson,WR,NO,83.8,142.0,171.9,95.2,18.12,51,165,8,NA
Courtland Sutton,WR,DEN,85.4,138.9,167.1,115.1,14.97,55,116,10,NA
Josh Downs,WR,IND,85.4,135.9,171.9,109.3,13.37,51,126,13,NA
Chuba Hubbard,RB,CAR,86.8,144.5,178.6,105.7,11.41,61,127,5,NA
Wan'Dale Robinson,WR,TEN,87.7,132.8,173.4,102.6,14.12,48,135,9,NA
Rico Dowdle,RB,PIT,88.5,139.8,170.7,105.7,11.52,68,132,9,NA
Michael Wilson,WR,ARI,90.5,129.9,173.4,102.6,15.82,49,137,14,NA
Alec Pierce,WR,IND,91.0,127.5,171.9,99.7,19.93,51,154,13,NA
RJ Harvey,RB,DEN,92.6,134.7,178.6,105.7,16.42,61,130,10,NA
Jaxson Dart,QB,NYG,94.7,288.5,328.2,232.9,12.62,63,119,8,NA
Brock Purdy,QB,SF,97.3,280.6,328.2,214.3,9.37,63,125,8,NA
Travis Kelce,TE,KC,98.7,138.3,166.6,108.9,13.65,66,138,5,NA
Patrick Mahomes II,QB,KC,101.1,272.0,328.2,214.3,11.7,63,129,5,NA
Bo Nix,QB,DEN,101.3,263.6,317.5,214.3,9.64,70,125,10,NA
Makai Lemon,WR,PHI,101.5,125.0,155.9,102.6,15.64,70,136,10,NA
Kenny Gainwell,RB,TB,101.6,129.9,157.3,80.1,14.64,77,156,10,NA
J.K. Dobbins,RB,DEN,102.1,125.7,166.8,72.6,17.7,72,177,10,NA
Jakobi Meyers,WR,JAC,102.2,122.8,160.5,96.8,17.8,62,158,7,NA
Quentin Johnston,WR,LAC,102.5,120.9,160.5,105.3,15.22,62,131,7,NA
Matthew Stafford,QB,LAR,104.7,255.0,328.2,183.5,14,63,148,11,NA
George Kittle,TE,SF,105.3,133.3,160.0,83.0,21.17,73,229,8,NA
Kyle Monangai,RB,CHI,106.0,121.7,157.3,80.1,13.88,78,156,10,NA
Jonathon Brooks,RB,CAR,106.3,118.5,170.7,44.1,31.34,67,243,5,NA
Jared Goff,QB,DET,106.7,248.2,328.2,214.3,11.25,59,124,6,NA
